target,model,feature,importance
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_NV,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,occ_major_45,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_SD,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_OH,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_OK,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_VA,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_WA,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_WI,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_ND,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_MN,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_MT,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_MS,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_AK,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_AR,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_AZ,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,occ_major_23,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_CO,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_DC,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_DE,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_HI,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_IA,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_ID,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_IL,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_IN,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_KS,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_KY,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_MD,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,occ_major_37,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_MO,0.0
Rent burden: annual rent / annual median wage,Tuned Random Forest,prim_state_WY,0.0
