source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
10500,"Albany, GA",2,1,31420,"Macon-Bibb County, GA",2,3.767043635426977,12528.0,88.528,58.916,59526.0,67239.74335803361,62706.12035379103,48554.66544686892,0.2700999257002899,0.3050847457627119
10500,"Albany, GA",2,2,17980,"Columbus, GA-AL",2,3.7740329225126863,12828.0,89.296,61.185,59336.0,66448.66511377889,62088.856915922086,47723.15184514624,0.2837119690139352,0.28152492668621704
10500,"Albany, GA",2,3,22500,"Florence, SC",2,3.7874386296137286,11208.0,86.774,52.425,54443.0,62741.14366054348,62566.05390515404,49649.74256765663,0.24883360441537591,0.35125448028673834
10500,"Albany, GA",2,4,45500,"Texarkana, TX-AR",2,3.8526606474518976,11400.0,84.012,49.885,55646.0,66235.77584154645,62572.92591513569,49003.43584228894,0.25881687835164313,0.3648068669527897
10500,"Albany, GA",2,5,48660,"Wichita Falls, TX",2,4.289748183456657,11940.0,89.513,68.208,65379.0,73038.55305933216,60039.527016390704,46700.68237929889,0.26803627407771496,0.3374485596707819
10500,"Albany, GA",2,6,46660,"Valdosta, GA",2,4.3277072443237765,12300.0,88.271,58.758,57085.0,64670.163473847584,59038.44953295425,45104.08830446471,0.2825291611788849,0.35864978902953587
10500,"Albany, GA",2,7,40580,"Rocky Mount, NC",2,4.333648551291515,11040.0,88.012,56.103,59636.0,67758.94196245966,63586.16470998596,51042.42067508163,0.23718808245067868,0.37398373983739835
10500,"Albany, GA",2,8,43340,"Shreveport-Bossier City, LA",2,4.3530896907078125,12168.0,84.766,52.286,55925.0,65975.74499209588,63475.7282131115,49120.916142234026,0.2779671839710722,0.3884057971014493
10500,"Albany, GA",2,9,36980,"Owensboro, KY",2,4.523196808215042,10884.0,88.61,55.698,68002.0,76743.03126058007,61968.56622802557,49685.52819620073,0.23782500534711193,0.36633663366336633
10500,"Albany, GA",2,10,28700,"Kingsport-Bristol, TN-VA",4,4.5321450948862285,10188.0,86.447,56.496,57792.0,66852.52235473758,65706.86528491796,53921.60957910977,0.21518060993346674,0.27586206896551724
10540,"Albany, OR",5,1,32780,"Medford, OR",5,4.900915368142466,16296.0,101.433,97.658,73999.0,72953.57526643202,62144.5270666695,46078.74965695077,0.29616088827104076,0.35174418604651164
10540,"Albany, OR",5,2,21660,"Eugene-Springfield, OR",5,5.55569959696105,16260.0,101.568,98.35,71544.0,70439.50850661626,64475.11932439578,48466.14011834663,0.2889320409761229,0.3464203233256351
10540,"Albany, OR",5,3,28740,"Kingston, NY",5,5.974452168128784,17100.0,100.709,110.173,86271.0,85663.64475866109,62617.465097360895,45637.850564399596,0.31443492088828084,0.3735408560311284
10540,"Albany, OR",5,4,23900,"Gettysburg, PA",2,5.99697529273788,13380.0,95.379,73.865,84092.0,88166.15816898897,59957.413696091804,45929.16848488179,0.27853825994911163,0.4228571428571429
10540,"Albany, OR",5,5,29540,"Lancaster, PA",3,6.147595936178222,16284.0,98.257,93.815,86959.0,88501.58258444691,61217.05816689836,44644.1931292929,0.3136956554666581,0.31685393258426964
10540,"Albany, OR",5,6,41420,"Salem, OR",5,6.293448446900298,16788.0,103.649,110.333,78900.0,76122.297369005,65913.51063560153,49716.53816119271,0.2875189685609681,0.313953488372093
10540,"Albany, OR",5,7,47220,"Vineland, NJ",5,6.337052840276356,15384.0,95.968,83.883,67436.0,70269.25641880627,67509.43891019229,51479.09546237635,0.2838642923153302,0.42738589211618255
10540,"Albany, OR",5,8,49700,"Yuba City, CA",5,6.3906692801379785,16632.0,104.233,108.279,78179.0,75004.07740350945,64324.98984646577,48368.430983149934,0.2964625706140576,0.3672566371681416
10540,"Albany, OR",5,9,39740,"Reading, PA",4,6.394843349076585,14172.0,97.06,85.419,79777.0,82193.48856377498,63929.24829493275,49327.970734660754,0.26702749400029324,0.2684729064039409
10540,"Albany, OR",5,10,26820,"Idaho Falls, ID",4,6.454306560530024,13524.0,94.412,83.985,80291.0,85043.21484557047,64894.98335528667,50570.53307354283,0.2703297036209735,0.35315985130111527
