cbsa_code,bls_msa_name,prim_state,annual_rent,median_gross_rent,median_household_income,real_median_household_income,population,rpp_all_items,rpp_goods,rpp_services_housing,rpp_services_other,mean_occ_wage,median_occ_wage,std_occ_wage,mean_real_occ_wage,median_real_occ_wage,mean_rent_burden,median_rent_burden,mean_cost_adjusted_rent_burden,median_cost_adjusted_rent_burden,mean_wage_to_rent,mean_real_income_after_rent,median_real_income_after_rent,mean_loc_quotient,median_loc_quotient,share_high_lq,mean_jobs_1000,occupation_rows,metro_occ_emp_sum,emp_share_soc_11,emp_share_soc_13,emp_share_soc_15,emp_share_soc_17,emp_share_soc_19,emp_share_soc_21,emp_share_soc_23,emp_share_soc_25,emp_share_soc_27,emp_share_soc_29,emp_share_soc_31,emp_share_soc_33,emp_share_soc_35,emp_share_soc_37,emp_share_soc_39,emp_share_soc_41,emp_share_soc_43,emp_share_soc_45,emp_share_soc_47,emp_share_soc_49,emp_share_soc_51,emp_share_soc_53,log_population,log_metro_occ_emp_sum,metro_cluster,pca_1,pca_2
10180,"Abilene, TX",TX,13692.0,1141.0,67328.0,74507.54725333097,180408.0,90.364,93.757,73.791,96.24,55135.68965517241,48405.0,25675.380012690897,61015.10519141739,53566.68584834668,0.29480265501265174,0.28286443010881185,0.2663954711756326,0.2556076136235268,4.0268543423292735,45863.05348941217,38414.63414634146,1.332975778546713,1.07,0.3494809688581315,3.1767543252595156,291,68190.0,0.07713741017744537,0.040328493914063644,0.013785012465170846,0.006892506232585423,0.002786332306789852,0.021410764041648336,0.004252822994573985,0.07053820208241678,0.007479102507699076,0.07053820208241678,0.05191377034755829,0.024637043554773426,0.1127731338905998,0.02830327027423376,0.0143716087402845,0.09840152515031529,0.1470890159847485,0.0,0.04355477342718874,0.05220706848511512,0.03270274233758615,0.07889719900278633,12.102981774501494,11.130067870314047,2,-2.2440084498049186,-1.7441396989472326
10380,"Aguadilla, PR",PR,6336.0,528.0,22398.0,,251769.0,,,,,36581.40625,26420.0,22247.06050590659,,,0.21996112001289034,0.23981917838598915,,,5.773580531881312,,,1.6715425531914894,1.125,0.43617021276595747,4.741574468085107,193,43070.0,0.036220106802879036,0.048990016252612026,0.011144648247039703,0.01462735082423961,0.003482702577199907,0.009519387044346413,0.0013930810308799629,0.07220803343394475,0.003482702577199907,0.0462038541908521,0.01950313443231948,0.022521476665892732,0.10842814023682378,0.04759693522173206,0.005107963779893197,0.14488042721151614,0.1516136521941026,0.0,0.043417692129092175,0.03598792663106571,0.09937311353610402,0.07429765498026468,12.436271251318061,10.670605195795803,2,-6.7538840395337845,-1.712722455539687
10420,"Akron, OH",OH,12396.0,1033.0,72371.0,77509.9068223198,699820.0,93.37,93.628,76.785,98.939,61104.77378435518,54900.0,27319.724709230224,65443.69046198477,58798.329227803355,0.23829894393732945,0.22579234972677595,0.2224997239542845,0.21082231693989073,4.929394464694674,52167.47754563048,45522.11631144907,1.1032838983050848,0.99,0.2775423728813559,2.071383474576271,478,312950.0,0.07173669915321937,0.06473877616232625,0.024732385365074293,0.019715609522287906,0.006678383128295255,0.016775842786387603,0.006071257389359323,0.05349097299888161,0.010480907493209778,0.07144911327688129,0.04150822815146189,0.021185492890238057,0.09397667359003035,0.029461575331522608,0.017095382648985462,0.08605208499760345,0.11516216648026842,0.000351493848857645,0.031187090589551048,0.038760185333120305,0.07464451190285988,0.10474516695957821,13.458579867039354,12.653801907746368,4,0.07223791701870091,2.827298114805859
10500,"Albany, GA",GA,11400.0,950.0,56906.0,64910.05942807606,146018.0,87.669,96.269,54.626,98.667,55591.73728813559,47605.0,29142.549267695347,63410.94034166649,54300.83609941941,0.2527808062075669,0.23947123822891087,0.22161040499411183,0.20994203984290388,4.876468183169789,50407.48415989186,41297.37991764478,1.2229237288135595,0.99,0.3601694915254237,3.7257076271186444,239,51880.0,0.054548959136468775,0.06168080185042406,0.017347725520431765,0.005782575173477255,0.0015420200462606013,0.01561295296838859,0.00520431765612953,0.05551272166538165,0.004047802621434078,0.07440246723207401,0.04818812644564379,0.03681572860447186,0.09695451040863531,0.025057825751734774,0.017154973014649192,0.1110254433307633,0.13878180416345412,0.0007710100231303007,0.034117193523515804,0.055319969159599074,0.028912875867386275,0.11121819583654588,11.891492029209692,10.856707913495192,2,-3.7178934038961917,-0.008233901452082474
10540,"Albany, OR",OR,15840.0,1320.0,76329.0,74759.05974534771,130706.0,102.1,105.261,101.059,100.298,62273.13807531381,56270.0,26208.37784989511,60992.29977993517,55112.63467189031,0.2931012230689965,0.28149991114270484,0.29925634875344537,0.2874114092767016,3.931384979502134,45478.0980169577,39598.43290891284,2.19975,1.05,0.39166666666666666,3.6454666666666666,241,40190.0,0.05324707638716099,0.03607862652401095,0.007464543418760886,0.008708633988554367,0.002488181139586962,0.025877083851704404,0.002488181139586962,0.06145807414779796,0.004727544165215228,0.03508335406817616,0.05498880318487186,0.014680268723563076,0.0915650659368002,0.02687235630753919,0.03732271709380443,0.08410052251803932,0.12167205772580243,0.012192087583976113,0.05399353072903707,0.0455337148544414,0.09629261010201542,0.12316496640955461,11.780713455944024,10.601398368945096,5,-0.4256727780259177,-1.78312838133896
10580,"Albany-Schenectady-Troy, NY",NY,15360.0,1280.0,88074.0,88457.90731775906,906052.0,99.566,99.693,102.582,97.754,70155.27087719298,62430.0,31427.023397829005,70461.07192936643,62702.12723218769,0.25776651404899287,0.24603571764317578,0.2566478073780203,0.24496792262860445,4.5674004477339185,55034.118953450954,47275.17425627222,1.300104347826087,1.02,0.35304347826086957,1.7137373913043479,581,436410.0,0.06649710134964827,0.07914575742993973,0.03411929149194565,0.02394537247084164,0.01746064480648931,0.024518228271579477,0.01239659952796682,0.07463165372012558,0.013221511881029307,0.0642056781466969,0.04553057904264338,0.02270800394124791,0.07410462638344675,0.03306523681858802,0.01952292568914553,0.07909992896588071,0.13707293600054996,0.0005728558007378383,0.03576911619807062,0.037258541279989,0.033111065282647054,0.07204234550079054,13.71685308221037,12.986339738856195,4,3.976669832802519,3.7177052896607456
10740,"Albuquerque, NM",NM,13872.0,1156.0,70783.0,74082.64082222174,921482.0,95.546,96.144,89.153,98.54,63294.51818181818,54295.0,31834.25069890647,66245.07376741902,56826.03144035333,0.26366986004580767,0.25549315883176726,0.2519260044793674,0.24411349353740036,4.5627536174897765,51726.412598976596,42307.37027191091,1.1392515592515593,0.95,0.2910602910602911,1.9925176715176713,499,384590.0,0.05579968277906342,0.06315816843911698,0.031904105670974285,0.023583556514729972,0.010296679580852336,0.01632907771912946,0.008580566317376947,0.05171741334928105,0.01055669674198497,0.06638238123716166,0.0637822096258353,0.030500013000858056,0.09820848175979614,0.029823968381913205,0.019293273356041498,0.0855716477287501,0.1435814763774409,0.0008840583478509582,0.05408356951558803,0.0377284900803453,0.028965911750175512,0.0692685717257339,13.733739607739533,12.859935710926973,4,1.540769230268747,1.468469297910107
10780,"Alexandria, LA",LA,11352.0,946.0,56353.0,65766.86973367877,149622.0,85.686,93.691,53.684,95.705,53004.47963800905,48810.0,23920.05486702796,61858.973038780015,56963.798053357605,0.2594567995595722,0.23257529194837123,0.22231815327061502,0.1992844646588814,4.669175443799246,48610.60107603231,43715.4260906099,1.4032432432432431,1.11,0.4099099099099099,3.867036036036036,223,50890.0,0.049125564943996856,0.0406759677736294,0.006484574572607585,0.0053055610139516604,0.0029475338966398115,0.021222244055806642,0.0068775790921595595,0.02063273727647868,0.005502063273727648,0.10748673609746512,0.093731577913146,0.033405384161917864,0.09628610729023383,0.0343878954607978,0.01847121241894282,0.10787974061701709,0.1342110434269994,0.0011790135586559245,0.0483395559048929,0.0483395559048929,0.02358027117311849,0.093928080172922,11.91587407602073,10.837441369615792,2,-4.75958272400389,-0.4807332386791692
10900,"Allentown-Bethlehem-Easton, PA-NJ",PA,16380.0,1365.0,84587.0,84614.07650448143,873603.0,99.968,100.569,105.52,97.752,64028.43137254902,57815.0,29266.02507790738,64048.92702919836,57833.50672215109,0.3001356390785087,0.2833180905573471,0.3000395956740036,0.2832274287683687,3.908939644233762,47663.683751349454,41448.263444302174,1.0899418604651163,0.95,0.25775193798449614,1.90359496124031,520,363430.0,0.06364361775307487,0.041080813361582695,0.016674462757614947,0.014885947775362519,0.006768841317447652,0.017197259444734887,0.00401727980629007,0.06367113336818644,0.008612387529923231,0.08235423602894643,0.05830558842142916,0.020113914646561926,0.08218914233827697,0.03164295737831219,0.0226453512368269,0.08084087719780976,0.11196103788900201,0.0007979528382356987,0.02724045896046006,0.03981509506645021,0.06826624109181961,0.13727540379165176,13.680382462716874,12.803344736754447,4,2.2747993437034926,0.5857605166478878
11020,"Altoona, PA",PA,10620.0,885.0,62382.0,69695.1076452121,121277.0,89.507,100.684,54.978,97.726,55655.294117647056,48485.0,27370.992077326984,62179.822938593694,54168.947680069716,0.22773399270949926,0.21903851364889143,0.20383786485449154,0.19605480241171325,5.240611498836823,50314.82913922604,42303.95388070207,1.27701244813278,1.05,0.35684647302904565,3.7489128630705397,243,52430.0,0.06084302880030517,0.04176997901964524,0.011062368872782759,0.009536524890329964,0.0024794964714857904,0.026511539195117298,0.002098035475872592,0.04291436200648484,0.005721914934197978,0.08239557505245089,0.06065229830249857,0.014876978828914743,0.10070570284188442,0.027274461186343697,0.02307839023459851,0.1079534617585352,0.12397482357428953,0.0,0.03547587259202747,0.04157924852183864,0.06961663169940874,0.10947930574098798,11.705840709975053,10.867253298434472,2,-3.8784235090214283,0.7578585523751268
