metro_cluster,n_metros,median_annual_rent,median_rpp_all_items,median_rpp_housing,median_household_income,median_real_household_income,mean_occ_wage,mean_real_occ_wage,mean_rent_burden,mean_cost_adjusted_rent_burden,mean_real_income_after_rent,mean_lq,share_high_lq,median_population
1,52,20640.0,104.523,124.7035,97764.5,92647.49746696634,71993.76437506323,68776.29409458504,0.3539720119395263,0.371653104477659,48350.967560085126,1.2370239255634408,0.2935090392114354,1308559.0
2,120,11706.0,88.965,60.58,63230.0,70284.39297368831,54578.640589933566,62137.42791039086,0.25558580546047854,0.2303201106070855,48769.283786761174,1.52539511315955,0.3737294781590645,142365.5
3,55,17448.0,98.13,98.781,76527.0,78472.0763961802,59131.10567859943,60269.26922836016,0.3471381514334534,0.34141611161190494,42523.759327235886,1.3308091788730052,0.33170324039360666,350396.0
4,126,12852.0,92.54650000000001,74.55250000000001,72288.5,78649.95680819431,61382.162908493185,66443.97877225539,0.2497514993583347,0.2309873385932289,52487.09083893637,1.31117197140453,0.29794183479789227,340429.5
5,40,16338.0,101.1575,96.4365,77940.5,77737.08413236457,67997.27851966568,67213.98879306011,0.2874404335352626,0.29173077981965634,50876.94107394125,1.5639552302202393,0.3495372037684056,226574.0
