metro_cluster,n_metros,median_annual_rent,median_household_income,avg_mean_occ_wage,avg_affordability_ratio,avg_high_lq_share
1,64,20706.0,95716.5,77421.8794482588,0.33613542020611015,0.2875097392578031
2,111,12012.0,65256.0,59138.51819583803,0.24635219220968835,0.38180455147712367
3,52,19002.0,82019.5,66506.53403355416,0.3544552397912464,0.35855694916963865
4,166,13470.0,72001.0,66595.2136036617,0.2523974855493535,0.30391539211879537
