cbsa_code,bls_msa_name,metro_name_norm
22020,"Fargo, ND-MN",fargo nd mn
22140,"Farmington, NM",farmington nm
22180,"Fayetteville, NC",fayetteville nc
22220,"Fayetteville-Springdale-Rogers, AR",fayetteville springdale rogers ar
22380,"Flagstaff, AZ",flagstaff az
22420,"Flint, MI",flint mi
22500,"Florence, SC",florence sc
22520,"Florence-Muscle Shoals, AL",florence muscle shoals al
22540,"Fond du Lac, WI",fond du lac wi
22660,"Fort Collins-Loveland, CO",fort collins loveland co
22900,"Fort Smith, AR-OK",fort smith ar ok
23060,"Fort Wayne, IN",fort wayne in
23420,"Fresno, CA",fresno ca
23460,"Gadsden, AL",gadsden al
23540,"Gainesville, FL",gainesville fl
23580,"Gainesville, GA",gainesville ga
23900,"Gettysburg, PA",gettysburg pa
24020,"Glens Falls, NY",glens falls ny
24140,"Goldsboro, NC",goldsboro nc
24220,"Grand Forks, ND-MN",grand forks nd mn
24260,"Grand Island, NE",grand island ne
24300,"Grand Junction, CO",grand junction co
24340,"Grand Rapids-Wyoming-Kentwood, MI",grand rapids wyoming kentwood mi
24420,"Grants Pass, OR",grants pass or
24500,"Great Falls, MT",great falls mt
24540,"Greeley, CO",greeley co
24580,"Green Bay, WI",green bay wi
24660,"Greensboro-High Point, NC",greensboro high point nc
24780,"Greenville, NC",greenville nc
24860,"Greenville-Anderson-Greer, SC",greenville anderson greer sc
25020,"Guayama, PR",guayama pr
25060,"Gulfport-Biloxi, MS",gulfport biloxi ms
25180,"Hagerstown-Martinsburg, MD-WV",hagerstown martinsburg md wv
25220,"Hammond, LA",hammond la
25260,"Hanford-Corcoran, CA",hanford corcoran ca
25420,"Harrisburg-Carlisle, PA",harrisburg carlisle pa
25500,"Harrisonburg, VA",harrisonburg va
25540,"Hartford-West Hartford-East Hartford, CT",hartford west hartford east hartford ct
25620,"Hattiesburg, MS",hattiesburg ms
25740,"Helena, MT",helena mt
25860,"Hickory-Lenoir-Morganton, NC",hickory lenoir morganton nc
25940,"Hilton Head Island-Bluffton-Port Royal, SC",hilton head island bluffton port royal sc
25980,"Hinesville, GA",hinesville ga
26140,"Homosassa Springs, FL",homosassa springs fl
26300,"Hot Springs, AR",hot springs ar
26380,"Houma-Bayou Cane-Thibodaux, LA",houma bayou cane thibodaux la
26420,"Houston-Pasadena-The Woodlands, TX",houston pasadena woodlands tx
26580,"Huntington-Ashland, WV-KY-OH",huntington ashland wv ky oh
26620,"Huntsville, AL",huntsville al
26820,"Idaho Falls, ID",idaho falls id
26900,"Indianapolis-Carmel-Greenwood, IN",indianapolis carmel greenwood in
26980,"Iowa City, IA",iowa city ia
27060,"Ithaca, NY",ithaca ny
27100,"Jackson, MI",jackson mi
27140,"Jackson, MS",jackson ms
27180,"Jackson, TN",jackson tn
27260,"Jacksonville, FL",jacksonville fl
27340,"Jacksonville, NC",jacksonville nc
27500,"Janesville-Beloit, WI",janesville beloit wi
27620,"Jefferson City, MO",jefferson city mo
27740,"Johnson City, TN",johnson city tn
27780,"Johnstown, PA",johnstown pa
27860,"Jonesboro, AR",jonesboro ar
27900,"Joplin, MO-KS",joplin mo ks
27980,"Kahului-Wailuku, HI",kahului wailuku hi
28020,"Kalamazoo-Portage, MI",kalamazoo portage mi
28100,"Kankakee, IL",kankakee il
28140,"Kansas City, MO-KS",kansas city mo ks
28420,"Kennewick-Richland, WA",kennewick richland wa
28450,"Kenosha, WI",kenosha wi
28660,"Killeen-Temple, TX",killeen temple tx
28700,"Kingsport-Bristol, TN-VA",kingsport bristol tn va
28740,"Kingston, NY",kingston ny
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",kiryas joel poughkeepsie newburgh ny
28940,"Knoxville, TN",knoxville tn
29020,"Kokomo, IN",kokomo in
29100,"La Crosse-Onalaska, WI-MN",la crosse onalaska wi mn
29180,"Lafayette, LA",lafayette la
29200,"Lafayette-West Lafayette, IN",lafayette west lafayette in
29340,"Lake Charles, LA",lake charles la
29420,"Lake Havasu City-Kingman, AZ",lake havasu city kingman az
29460,"Lakeland-Winter Haven, FL",lakeland winter haven fl
29540,"Lancaster, PA",lancaster pa
29620,"Lansing-East Lansing, MI",lansing east lansing mi
29700,"Laredo, TX",laredo tx
29740,"Las Cruces, NM",las cruces nm
29820,"Las Vegas-Henderson-North Las Vegas, NV",las vegas henderson north las vegas nv
29940,"Lawrence, KS",lawrence ks
30020,"Lawton, OK",lawton ok
30140,"Lebanon, PA",lebanon pa
30300,"Lewiston, ID-WA",lewiston id wa
30340,"Lewiston-Auburn, ME",lewiston auburn me
30460,"Lexington-Fayette, KY",lexington fayette ky
30500,"Lexington Park, MD",lexington park md
30620,"Lima, OH",lima oh
30700,"Lincoln, NE",lincoln ne
30780,"Little Rock-North Little Rock-Conway, AR",little rock north little rock conway ar
30860,"Logan, UT-ID",logan ut id
30980,"Longview, TX",longview tx
31020,"Longview-Kelso, WA",longview kelso wa
31080,"Los Angeles-Long Beach-Anaheim, CA",los angeles long beach anaheim ca
31140,"Louisville/Jefferson County, KY-IN",louisville jefferson county ky in
31180,"Lubbock, TX",lubbock tx
31340,"Lynchburg, VA",lynchburg va
31420,"Macon-Bibb County, GA",macon bibb county ga
31540,"Madison, WI",madison wi
31700,"Manchester-Nashua, NH",manchester nashua nh
31740,"Manhattan, KS",manhattan ks
31860,"Mankato, MN",mankato mn
31900,"Mansfield, OH",mansfield oh
32420,"Mayaguez, PR",mayag uez pr
32580,"McAllen-Edinburg-Mission, TX",mcallen edinburg mission tx
32780,"Medford, OR",medford or
32820,"Memphis, TN-MS-AR",memphis tn ms ar
32900,"Merced, CA",merced ca
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",miami fort lauderdale west palm beach fl
33140,"Michigan City-La Porte, IN",michigan city la porte in
33220,"Midland, MI",midland mi
33260,"Midland, TX",midland tx
33340,"Milwaukee-Waukesha, WI",milwaukee waukesha wi
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",minneapolis st paul bloomington mn wi
33500,"Minot, ND",minot nd
33540,"Missoula, MT",missoula mt
33660,"Mobile, AL",mobile al
33700,"Modesto, CA",modesto ca
33740,"Monroe, LA",monroe la
33780,"Monroe, MI",monroe mi
33860,"Montgomery, AL",montgomery al
34060,"Morgantown, WV",morgantown wv
34100,"Morristown, TN",morristown tn
34580,"Mount Vernon-Anacortes, WA",mount vernon anacortes wa
